empresa_key,empresa_nome,ticker_b3,setor,moeda,fonte,data_referencia,ano,trimestre,periodo,caixa_equivalentes,ativo_total,divida_cp,divida_lp,divida_total,divida_liquida,patrimonio_liquido,receita_liquida,ebit,ebitda,depreciacao_amort,ebitda_origem,lucro_liquido,despesa_financeira,divida_ebitda,margem_ebitda_pct,margem_liquida_pct,roe_pct,roa_pct,nopat,capital_investido,roic_pct,custo_implicito_divida_pct,selic_meta_pct,ipca_acum_12m_pct,cambio_brl_usd,juros_real_pct,regime_selic,choque_periodo,dado_revisado,alerta_nota
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2022-09-30,2022,3,2022-Q3,16665128.0,0.0,6412877.0,2437774.0,8850651.0,-7814477.0,0.0,253503463.0,22973115.0,23044601.0,71486.0,EBIT+D&A(DFC),4013608.0,5309358.0,0.38,9.09,1.58,,,15162255.9,8850651.0,171.31,59.99,13.75,7.17,5.2462,13.46,Selic_Alta_>=13pct,Espiral_Inflac_2021-22,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2023-03-31,2023,1,2023-Q1,8964674.0,0.0,6760907.0,2722609.0,9483516.0,518842.0,0.0,90866573.0,7423186.0,7438347.0,15161.0,EBIT+D&A(DFC),-1452603.0,3124518.0,1.27,8.19,-1.6,,,4899302.76,9483516.0,51.66,32.95,13.75,4.65,5.1963,13.65,Selic_Alta_>=13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2023-06-30,2023,2,2023-Q2,12738712.0,0.0,8557614.0,2139415.0,10697029.0,-2041683.0,0.0,183057958.0,15141928.0,15177955.0,36027.0,EBIT+D&A(DFC),-263624.0,5949868.0,0.7,8.29,-0.14,,,9993672.48,10697029.0,93.42,55.62,13.75,3.16,4.9485,13.65,Selic_Alta_>=13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2023-09-30,2023,3,2023-Q3,26789824.0,0.0,5877762.0,2735698.0,8613460.0,-18176364.0,0.0,281986115.0,22149455.0,22200283.0,50828.0,EBIT+D&A(DFC),572651.0,8088931.0,0.39,7.87,0.2,,,14618640.3,8613460.0,169.72,93.91,12.75,5.19,4.8803,13.27,Selic_Mod_8a13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2024-03-31,2024,1,2024-Q1,16477431.0,0.0,119187.0,205721.0,324908.0,-16152523.0,0.0,86683729.0,-594784.0,-580366.0,14418.0,EBIT+D&A(DFC),1646007.0,2185571.0,,-0.67,1.9,,,-392557.44,324908.0,-120.82,672.67,10.75,3.93,4.9515,11.2667,Selic_Mod_8a13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2024-06-30,2024,2,2024-Q2,20514018.0,0.0,1099958.0,373921.0,1473879.0,-19040139.0,0.0,176066360.0,945007.0,974433.0,29426.0,EBIT+D&A(DFC),1715206.0,4339537.0,1.51,0.55,0.97,,,623704.62,1473879.0,42.32,294.43,10.5,4.23,5.2129,10.5033,Selic_Mod_8a13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
JBS,JBS S.A.,JBSS3,Alimentos / Proteína Animal,BRL,CVM_ITR,2024-09-30,2024,3,2024-Q3,27622165.0,0.0,5735925.0,378868.0,6114793.0,-21507372.0,0.0,267475824.0,3575180.0,3624267.0,49087.0,EBIT+D&A(DFC),3842538.0,6780820.0,1.69,1.35,1.44,,,2359618.8,6114793.0,38.59,110.89,10.75,4.42,5.5454,10.4333,Selic_Mod_8a13pct,Periodo_Normal,False,Maior frigorífico do mundo; receita majoritariamente em USD
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2011-03-31,2011,1,2011-Q1,3418725.0,19655355.0,13137864.0,60139682.0,73277546.0,69858821.0,0.0,50412070.0,11437769.0,11508342.0,70573.0,EBIT+D&A(DFC),10984964.0,717834.0,6.37,22.83,21.79,,55.89,7548927.54,73277546.0,10.3,0.98,11.75,6.3,1.6673,11.2133,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2011-06-30,2011,2,2011-Q2,3086470.0,24795379.0,13525793.0,59659381.0,73185174.0,70098704.0,0.0,104043449.0,23509903.0,23622284.0,112381.0,EBIT+D&A(DFC),10942937.0,336569.0,3.1,22.7,10.52,,44.13,15516535.98,73185174.0,21.2,0.46,12.25,6.71,1.5962,11.92,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2011-09-30,2011,3,2011-Q3,3669837.0,21390495.0,15276442.0,71131869.0,86408311.0,82738474.0,0.0,158782492.0,34412644.0,35090262.0,677618.0,EBIT+D&A(DFC),6335919.0,557923.0,2.46,22.1,3.99,,29.62,22712345.04,86408311.0,26.28,0.65,12.0,7.31,1.6357,12.1933,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2012-03-31,2012,1,2012-Q1,3135061.0,17989998.0,13658814.0,87900358.0,101559172.0,98424111.0,0.0,54358086.0,12728835.0,12933774.0,204939.0,EBIT+D&A(DFC),9214221.0,864641.0,7.85,23.79,16.95,,51.22,8401031.1,101559172.0,8.27,0.85,9.75,5.24,1.7701,10.3067,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2012-06-30,2012,2,2012-Q2,2109287.0,19647434.0,13060228.0,100343577.0,113403805.0,111294518.0,0.0,115365108.0,24888147.0,25561920.0,673773.0,EBIT+D&A(DFC),-1345727.0,871892.0,4.44,22.16,-1.17,,-6.85,16426177.02,113403805.0,14.48,0.77,8.5,4.92,1.9641,8.87,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2012-09-30,2012,3,2012-Q3,2370708.0,16393911.0,12878652.0,105601672.0,118480324.0,116109616.0,0.0,178919334.0,36643537.0,37025849.0,382312.0,EBIT+D&A(DFC),5566356.0,1095464.0,3.2,20.69,3.11,,33.95,24184734.42,118480324.0,20.41,0.92,7.5,5.28,2.0288,7.77,Selic_Baixa_4a8pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2013-03-31,2013,1,2013-Q1,1916168.0,19027091.0,11712031.0,115879849.0,127591880.0,125675712.0,0.0,66134031.0,11907080.0,12120538.0,213458.0,EBIT+D&A(DFC),7693177.0,1198555.0,10.53,18.33,11.63,,40.43,7858672.8,127591880.0,6.16,0.94,7.25,6.59,1.9976,7.1267,Selic_Baixa_4a8pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2013-06-30,2013,2,2013-Q2,2514342.0,21510651.0,15117940.0,159338647.0,174456587.0,171942245.0,0.0,134181301.0,16762998.0,17074503.0,311505.0,EBIT+D&A(DFC),6200990.0,1280149.0,10.22,12.72,4.62,,28.83,11063578.68,174456587.0,6.34,0.73,8.0,6.7,2.0673,7.5267,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
PETROBRAS,Petróleo Brasileiro S.A. — Petrobras,PETR4,Óleo e Gás,BRL,CVM_ITR,2013-09-30,2013,3,2013-Q3,2265501.0,18528744.0,14179842.0,166908664.0,181088506.0,178823005.0,0.0,207974234.0,25555684.0,25798160.0,242476.0,EBIT+D&A(DFC),3394672.0,1240544.0,7.02,12.4,1.63,,18.32,16866751.44,181088506.0,9.31,0.69,9.0,5.86,2.288,8.5267,Selic_Mod_8a13pct,Periodo_Normal,False,Lava Jato 2014-2016 impactou fortemente os resultados
