empresa_key,empresa_nome,ticker_yahoo,ticker_b3,moeda,setor,data_referencia,ano,mes,trimestre,periodo,preco_fechamento,volume_medio,market_cap_bi,pl_ratio,ev_ebitda,cambio_brl_usd,choque_periodo
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-07-01,2013,7,3,2013-Q3,4.643533706665039,261033200.0,26.508,9.2252245,,2.2903,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-08-01,2013,8,3,2013-Q3,4.721368312835693,340220000.0,26.953,9.2252245,,2.3725,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-09-01,2013,9,3,2013-Q3,5.490211009979248,303594600.0,31.342,9.2252245,,2.23,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-10-01,2013,10,4,2013-Q4,6.401557922363281,242530000.0,36.545,9.2252245,,2.2026,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-11-01,2013,11,4,2013-Q4,5.534389019012451,357471200.0,31.594,9.2252245,,2.3249,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2013-12-01,2013,12,4,2013-Q4,5.264104843139648,228705400.0,30.051,9.2252245,,2.3426,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-01-01,2014,1,1,2014-Q1,4.565862655639648,267256200.0,26.065,9.2252245,,2.4263,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-02-01,2014,2,1,2014-Q1,4.524336814880371,322892800.0,25.828,9.2252245,,2.3334,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-03-01,2014,3,1,2014-Q1,5.01537561416626,292294400.0,28.631,9.2252245,,2.263,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-04-01,2014,4,2,2014-Q2,5.226774215698242,293485000.0,29.838,9.2252245,,2.236,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-05-01,2014,5,2,2014-Q2,5.1150431632995605,301771000.0,29.2,9.2252245,,2.239,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-06-01,2014,6,2,2014-Q2,5.572046756744385,238642400.0,31.809,9.2252245,,2.2025,Periodo_Normal
